,,,,,Day 1,,,,,,,,,,,,,,,,,,,,,,,,Day 2,,,,,,,,,,,,,,,,,,,,,,,
Main Street south of Sullivan Square,October,Bike,Total,1007,1,1,1,0,3,6,21,54,95,46,11,10,6,14,12,15,32,71,49,17,14,13,3,3,0,3,0,0,1,6,20,51,87,28,16,17,13,20,10,25,39,50,55,28,13,10,9,8
Main Street south of Sullivan Square,October,MV,Northbound,18084,59,27,20,9,41,108,261,514,448,418,432,481,516,491,613,653,860,884,695,484,372,276,214,107,52,21,26,15,40,109,286,510,507,391,426,506,517,521,623,727,847,859,638,492,336,256,226,170
Main Street south of Sullivan Square,October,MV,Southbound,21044,62,28,28,33,69,341,511,887,1004,779,538,517,552,500,544,489,519,653,686,588,414,276,183,113,71,36,31,41,77,335,562,885,1083,818,563,555,577,574,532,554,601,652,678,569,374,275,154,133
Main Street south of Sullivan Square,October,MV,Total,39128,121,55,48,42,110,449,772,1401,1452,1197,970,998,1068,991,1157,1142,1379,1537,1381,1072,786,552,397,220,123,57,57,56,117,444,848,1395,1590,1209,989,1061,1094,1095,1155,1281,1448,1511,1316,1061,710,531,380,303
Market Street south of North Beacon Street,September,Bike,Northbound,247,0,2,0,1,0,4,7,23,26,3,4,5,6,6,3,6,6,7,9,4,3,3,2,0,2,0,0,1,2,3,3,29,18,6,9,5,4,3,0,6,3,5,6,4,3,3,1,1
Market Street south of North Beacon Street,September,Bike,Southbound,231,0,0,0,0,0,1,1,2,6,6,0,9,2,4,3,9,7,21,14,12,8,14,8,6,1,0,1,1,0,0,0,3,2,6,3,1,2,3,3,4,14,16,21,10,2,2,1,2
Market Street south of North Beacon Street,September,Bike,Total,478,0,2,0,1,0,5,8,25,32,9,4,14,8,10,6,15,13,28,23,16,11,17,10,6,3,0,1,2,2,3,3,32,20,12,12,6,6,6,3,10,17,21,27,14,5,5,2,3
Market Street south of North Beacon Street,September,MV,Northbound,18449,67,41,19,21,43,210,386,701,752,600,513,509,530,498,561,560,595,537,557,459,341,262,190,115,75,41,32,27,44,189,427,706,787,658,525,530,533,527,598,568,595,558,516,478,347,271,218,132
Market Street south of North Beacon Street,September,MV,Southbound,22720,108,51,31,20,33,110,345,557,548,573,582,596,651,647,729,732,793,945,914,740,583,474,405,231,120,45,38,36,31,112,324,564,550,588,565,598,656,629,755,762,819,919,818,709,569,480,388,247
Market Street south of North Beacon Street,September,MV,Total,41169,175,92,50,41,76,320,731,1258,1300,1173,1095,1105,1181,1145,1290,1292,1388,1482,1471,1199,924,736,595,346,195,86,70,63,75,301,751,1270,1337,1246,1090,1128,1189,1156,1353,1330,1414,1477,1334,1187,916,751,606,379
Massachusetts Avenue Bridge north of Dr. Paul Dudley White Bike Path,September,Bike,Northbound,4175,21,6,6,6,3,6,39,129,227,194,81,73,72,60,64,80,105,265,223,166,79,97,100,50,17,5,5,0,7,10,36,46,260,191,88,70,71,65,82,64,122,206,214,118,105,104,92,45
Massachusetts Avenue Bridge north of Dr. Paul Dudley White Bike Path,September,Bike,Southbound,4466,18,11,5,1,2,11,46,134,250,165,81,82,55,93,76,95,166,300,262,163,97,72,55,38,15,7,8,4,2,9,49,133,221,155,77,60,71,74,81,98,184,319,235,131,90,83,60,22
Massachusetts Avenue Bridge north of Dr. Paul Dudley White Bike Path,September,Bike,Total,8641,39,17,11,7,5,17,85,263,477,359,162,155,127,153,140,175,271,565,485,329,176,169,155,88,32,12,13,4,9,19,85,179,481,346,165,130,142,139,163,162,306,525,449,249,195,187,152,67
Massachusetts Avenue Bridge north of Dr. Paul Dudley White Bike Path,September,MV,Northbound,36773,227,108,85,68,132,508,743,1025,1360,1256,893,923,896,940,1040,1102,1085,1180,972,915,872,760,717,419,256,124,78,74,137,530,694,1107,1361,1291,892,871,915,828,965,1225,1127,1133,1014,1024,855,666,814,566
Massachusetts Avenue Bridge north of Dr. Paul Dudley White Bike Path,September,MV,Southbound,26082,205,147,88,47,55,150,443,678,807,733,635,619,588,628,763,834,1006,988,758,644,566,578,496,332,210,135,93,46,58,199,413,685,821,742,684,672,625,673,842,813,997,949,848,656,538,618,583,394
Massachusetts Avenue Bridge north of Dr. Paul Dudley White Bike Path,September,MV,Total,62855,432,255,173,115,187,658,1186,1703,2167,1989,1528,1542,1484,1568,1803,1936,2091,2168,1730,1559,1438,1338,1213,751,466,259,171,120,195,729,1107,1792,2182,2033,1576,1543,1540,1501,1807,2038,2124,2082,1862,1680,1393,1284,1397,960
Massachusetts Avenue south of Columbus Avenue,October,Bike,Northbound,920,13,0,3,1,2,8,11,44,74,43,16,6,15,9,22,29,34,67,45,48,24,25,20,9,10,3,0,2,1,10,7,30,67,24,14,14,8,11,2,1,1,29,46,17,24,10,7,14
Massachusetts Avenue south of Columbus Avenue,October,Bike,Southbound,1240,4,0,1,2,3,11,16,39,60,29,24,20,16,22,28,27,55,85,79,36,27,24,13,5,9,2,1,3,1,0,14,46,45,39,31,15,23,20,27,40,62,64,76,28,22,23,12,11
Massachusetts Avenue south of Columbus Avenue,October,Bike,Total,2160,17,0,4,3,5,19,27,83,134,72,40,26,31,31,50,56,89,152,124,84,51,49,33,14,19,5,1,5,2,10,21,76,112,63,45,29,31,31,29,41,63,93,122,45,46,33,19,25
Massachusetts Avenue south of Columbus Avenue,October,MV,Northbound,26928,271,136,108,72,103,200,509,716,715,671,660,664,695,691,795,768,852,830,798,711,742,636,518,448,263,180,137,74,82,218,503,708,733,655,638,706,687,764,769,701,860,811,837,754,725,674,680,460
Massachusetts Avenue south of Columbus Avenue,October,MV,Southbound,25709,193,107,83,91,158,533,678,677,691,672,669,637,676,678,631,739,748,818,771,630,569,487,429,341,202,98,90,84,155,411,692,767,767,709,738,725,624,679,667,689,782,792,746,642,584,568,466,326
Massachusetts Avenue south of Columbus Avenue,October,MV,Total,52637,464,243,191,163,261,733,1187,1393,1406,1343,1329,1301,1371,1369,1426,1507,1600,1648,1569,1341,1311,1123,947,789,465,278,227,158,237,629,1195,1475,1500,1364,1376,1431,1311,1443,1436,1390,1642,1603,1583,1396,1309,1242,1146,786
Massachusetts Avenue south of Newmarket Square,October,Bike,Northbound,326,2,0,0,0,0,5,8,19,31,8,9,9,4,16,6,11,9,18,7,5,3,1,0,2,2,2,0,1,3,5,12,9,20,20,10,6,6,6,10,3,12,9,5,7,4,0,0,1
Massachusetts Avenue south of Newmarket Square,October,Bike,Southbound,353,3,0,2,0,0,0,2,4,8,6,5,4,4,4,4,9,23,26,23,20,18,12,4,1,4,2,1,0,0,1,2,6,12,6,2,4,6,2,6,11,17,30,15,14,11,8,8,3
Massachusetts Avenue south of Newmarket Square,October,Bike,Total,679,5,0,2,0,0,5,10,23,39,14,14,13,8,20,10,20,32,44,30,25,21,13,4,3,6,4,1,1,3,6,14,15,32,26,12,10,12,8,16,14,29,39,20,21,15,8,8,4
Massachusetts Avenue south of Newmarket Square,October,MV,Northbound,25132,106,67,40,39,67,258,701,888,900,771,745,687,734,720,797,743,729,689,672,604,483,354,280,208,113,58,34,49,62,300,734,939,946,799,799,720,748,777,825,771,721,719,755,618,463,378,305,217
Massachusetts Avenue south of Newmarket Square,October,MV,Southbound,22866,350,93,60,47,44,128,281,456,464,547,583,629,703,649,705,860,973,1051,855,662,541,349,272,286,127,98,67,51,56,114,273,440,509,535,599,591,654,683,739,873,937,1036,780,676,517,358,322,243
Massachusetts Avenue south of Newmarket Square,October,MV,Total,47998,456,160,100,86,111,386,982,1344,1364,1318,1328,1316,1437,1369,1502,1603,1702,1740,1527,1266,1024,703,552,494,240,156,101,100,118,414,1007,1379,1455,1334,1398,1311,1402,1460,1564,1644,1658,1755,1535,1294,980,736,627,460
Massachusetts Avenue south of Shawmut Avenue,October,Bike,Northbound,981,4,1,1,0,2,2,14,37,47,22,17,16,16,21,20,27,39,68,67,26,21,16,7,5,6,2,0,1,1,1,15,40,38,25,22,19,19,19,26,30,50,45,59,23,16,13,7,8
Massachusetts Avenue south of Shawmut Avenue,October,Bike,Southbound,781,12,0,4,0,2,7,7,38,62,37,20,6,6,7,6,18,34,39,26,41,16,15,10,6,8,5,0,0,1,11,9,25,69,56,16,5,9,6,5,9,20,35,25,14,16,5,1,12
Massachusetts Avenue south of Shawmut Avenue,October,Bike,Total,1762,16,1,5,0,4,9,21,75,109,59,37,22,22,28,26,45,73,107,93,67,37,31,17,11,14,7,0,1,2,12,24,65,107,81,38,24,28,25,31,39,70,80,84,37,32,18,8,20
Massachusetts Avenue south of Shawmut Avenue,October,MV,Northbound,27410,172,111,80,93,167,599,762,823,806,785,711,682,713,696,677,720,756,880,783,640,615,500,454,323,195,104,92,96,174,449,791,832,854,728,751,743,688,672,780,717,805,846,779,738,584,598,498,348
Massachusetts Avenue south of Shawmut Avenue,October,MV,Southbound,25135,239,136,113,71,90,241,519,716,682,657,679,655,652,609,661,713,761,748,673,671,701,561,481,425,249,172,136,74,88,243,515,691,695,619,679,621,612,682,668,668,763,700,706,730,671,628,651,420
Massachusetts Avenue south of Shawmut Avenue,October,MV,Total,52545,411,247,193,164,257,840,1281,1539,1488,1442,1390,1337,1365,1305,1338,1433,1517,1628,1456,1311,1316,1061,935,748,444,276,228,170,262,692,1306,1523,1549,1347,1430,1364,1300,1354,1448,1385,1568,1546,1485,1468,1255,1226,1149,768
Meridian Street south of Nay Street,October,Bike,Northbound,52,0,1,0,1,3,1,1,3,4,0,1,0,0,1,2,1,2,1,2,0,1,1,0,0,0,0,0,1,1,0,0,6,0,1,1,0,0,0,1,2,3,6,3,0,0,1,0,0
Meridian Street south of Nay Street,October,Bike,Southbound,30,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,5,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,3,2,1,0,0,2,1,1
Meridian Street south of Nay Street,October,Bike,Total,82,0,1,0,2,3,1,2,4,4,0,1,0,1,2,2,2,3,6,3,1,2,1,0,0,0,0,0,2,1,0,1,6,1,1,1,0,2,0,1,2,6,8,4,0,0,3,1,1
Meridian Street south of Nay Street,October,MV,Northbound,20805,141,93,77,83,180,388,402,478,421,462,467,550,633,628,484,660,761,712,623,547,453,363,305,230,144,110,126,96,198,419,464,474,434,531,560,591,458,752,598,697,675,745,668,576,434,379,298,237
Meridian Street south of Nay Street,October,MV,Southbound,21613,148,94,69,53,95,203,525,806,710,625,490,501,549,534,456,733,777,786,622,535,377,339,258,212,173,115,85,46,89,245,623,747,563,756,543,583,428,774,586,753,716,838,661,604,380,331,277,200
Meridian Street south of Nay Street,October,MV,Total,42418,289,187,146,136,275,591,927,1284,1131,1087,957,1051,1182,1162,940,1393,1538,1498,1245,1082,830,702,563,442,317,225,211,142,287,664,1087,1221,997,1287,1103,1174,886,1526,1184,1450,1391,1583,1329,1180,814,710,575,437
Mt. Vernon Street west of Harbor Point Boulevard,October,Bike,Eastbound,98,0,0,0,0,0,3,5,8,3,5,3,2,0,1,1,5,3,5,1,2,2,1,2,0,0,0,0,0,0,1,6,4,4,5,4,1,2,2,3,3,1,4,0,0,0,4,0,2
Mt. Vernon Street west of Harbor Point Boulevard,October,Bike,Westbound,99,1,0,0,0,0,0,2,0,1,4,0,1,2,1,3,5,4,5,5,2,6,3,2,0,1,0,0,0,0,1,1,1,3,2,1,0,3,6,5,2,5,6,6,4,3,2,0,0
Mt. Vernon Street west of Harbor Point Boulevard,October,Bike,Total,197,1,0,0,0,0,3,7,8,4,9,3,3,2,2,4,10,7,10,6,4,8,4,4,0,1,0,0,0,0,2,7,5,7,7,5,1,5,8,8,5,6,10,6,4,3,6,0,2
Mt. Vernon Street west of Harbor Point Boulevard,October,MV,Eastbound,11783,71,36,24,16,22,115,314,399,301,288,253,276,328,300,352,441,445,422,442,349,320,247,206,117,71,44,26,16,18,86,277,383,241,307,263,249,303,285,322,452,384,412,354,325,295,265,196,125
Mt. Vernon Street west of Harbor Point Boulevard,October,MV,Westbound,11167,59,26,22,10,27,65,211,390,290,292,285,302,353,322,359,361,347,373,394,348,385,266,166,85,58,31,24,17,21,57,172,405,277,344,252,297,336,302,345,421,298,377,364,274,293,195,171,98
Mt. Vernon Street west of Harbor Point Boulevard,October,MV,Total,22950,130,62,46,26,49,180,525,789,591,580,538,578,681,622,711,802,792,795,836,697,705,513,372,202,129,75,50,33,39,143,449,788,518,651,515,546,639,587,667,873,682,789,718,599,588,460,367,223
North Harvard Street south of Soldiers Field Road,September,Bike,Northbound,1836,9,3,4,0,4,10,35,52,114,68,50,45,27,42,24,46,72,92,98,57,41,28,17,8,5,1,4,1,1,15,35,84,99,65,50,35,18,31,31,47,45,91,78,55,25,29,18,27
North Harvard Street south of Soldiers Field Road,September,Bike,Southbound,1578,11,3,2,0,2,5,21,46,52,35,17,17,22,29,36,40,55,90,89,64,38,47,40,24,13,4,1,0,2,12,48,38,48,41,20,22,14,22,35,45,52,89,84,59,49,34,30,31
North Harvard Street south of Soldiers Field Road,September,Bike,Total,3414,20,6,6,0,6,15,56,98,166,103,67,62,49,71,60,86,127,182,187,121,79,75,57,32,18,5,5,1,3,27,83,122,147,106,70,57,32,53,66,92,97,180,162,114,74,63,48,58
North Harvard Street south of Soldiers Field Road,September,MV,Northbound,12845,75,42,29,17,21,71,202,402,486,438,305,298,279,274,337,336,438,490,450,452,300,287,212,160,86,39,33,18,24,83,269,424,535,417,318,286,270,319,342,357,440,479,425,384,331,250,178,137
North Harvard Street south of Soldiers Field Road,September,MV,Southbound,11375,73,45,25,18,30,159,241,275,313,339,288,284,267,257,283,293,331,387,477,336,305,275,211,138,83,48,28,19,31,214,303,240,312,363,303,302,296,248,298,300,323,387,413,311,278,244,221,160
North Harvard Street south of Soldiers Field Road,September,MV,Total,24220,148,87,54,35,51,230,443,677,799,777,593,582,546,531,620,629,769,877,927,788,605,562,423,298,169,87,61,37,55,297,572,664,847,780,621,588,566,567,640,657,763,866,838,695,609,494,399,297
North Washington Street Bridge south of Chelsea Street,October,Bike,Northbound,328,1,0,0,0,0,1,1,0,3,5,2,7,7,3,16,8,27,56,31,9,2,2,2,0,0,0,0,0,0,2,2,2,1,6,3,1,8,3,6,6,22,49,21,9,4,0,0,0
North Washington Street Bridge south of Chelsea Street,October,Bike,Southbound,79,0,0,0,0,0,2,3,8,6,3,4,1,2,1,2,0,2,1,4,0,2,1,0,0,0,0,0,0,0,2,2,6,0,3,1,4,1,2,0,1,0,2,4,1,3,2,2,1
North Washington Street Bridge south of Chelsea Street,October,Bike,Total,407,1,0,0,0,0,3,4,8,9,8,6,8,9,4,18,8,29,57,35,9,4,3,2,0,0,0,0,0,0,4,4,8,1,9,4,5,9,5,6,7,22,51,25,10,7,2,2,1
North Washington Street Bridge south of Chelsea Street,October,MV,Northbound,38732,231,141,106,77,117,355,627,855,983,958,859,910,921,944,1179,1364,1641,1597,1380,941,790,807,556,465,276,158,119,77,119,313,657,813,1004,916,928,914,1010,981,1189,1405,1633,1559,1329,996,783,911,1092,746
North Washington Street Bridge south of Chelsea Street,October,MV,Southbound,42880,183,126,89,67,156,600,1483,1619,1559,1510,1282,936,911,963,1323,1352,1370,1396,1426,825,639,526,426,281,173,103,76,81,163,604,1471,1567,1508,1497,1434,1271,1088,1142,1400,1286,1425,1396,1196,847,610,566,570,358
North Washington Street Bridge south of Chelsea Street,October,MV,Total,81612,414,267,195,144,273,955,2110,2474,2542,2468,2141,1846,1832,1907,2502,2716,3011,2993,2806,1766,1429,1333,982,746,449,261,195,158,282,917,2128,2380,2512,2413,2362,2185,2098,2123,2589,2691,3058,2955,2525,1843,1393,1477,1662,1104
Pleasant Street north of Morrill Street,October,Bike,Northbound,104,0,0,0,0,0,4,2,6,9,5,1,3,3,4,1,1,0,6,1,2,1,1,0,0,0,0,0,1,1,3,3,6,9,8,2,4,1,2,3,1,6,1,1,1,1,0,0,0
Pleasant Street north of Morrill Street,October,Bike,Southbound,128,0,0,0,0,0,1,2,0,1,0,0,0,3,3,3,8,7,10,9,7,5,5,2,0,0,0,0,0,0,1,0,0,2,1,0,4,4,1,2,7,5,14,5,5,2,1,7,1
Pleasant Street north of Morrill Street,October,Bike,Total,232,0,0,0,0,0,5,4,6,10,5,1,3,6,7,4,9,7,16,10,9,6,6,2,0,0,0,0,1,1,4,3,6,11,9,2,8,5,3,5,8,11,15,6,6,3,1,7,1
Pleasant Street north of Morrill Street,October,MV,Northbound,11436,42,24,16,16,39,143,461,660,522,378,270,248,264,270,310,260,282,289,297,229,216,156,99,66,31,23,20,11,47,197,638,673,588,389,290,275,249,294,295,274,285,292,268,226,182,139,117,76
Pleasant Street north of Morrill Street,October,MV,Southbound,11064,148,25,17,16,12,28,122,258,265,260,238,262,314,257,337,462,460,498,381,374,286,207,157,121,72,35,27,13,15,40,137,237,291,272,267,266,299,263,378,483,464,465,399,319,294,189,174,160
Pleasant Street north of Morrill Street,October,MV,Total,22500,190,49,33,32,51,171,583,918,787,638,508,510,578,527,647,722,742,787,678,603,502,363,256,187,103,58,47,24,62,237,775,910,879,661,557,541,548,557,673,757,749,757,667,545,476,328,291,236
Post Office Square north of Milk Street,October,Bike,Northbound,519,1,1,0,0,0,2,5,12,19,22,7,14,11,13,9,15,29,49,32,13,6,6,1,1,1,1,0,1,0,2,2,12,14,20,7,5,11,9,9,12,30,37,32,17,9,11,7,2
Post Office Square north of Milk Street,October,Bike,Southbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Post Office Square north of Milk Street,October,Bike,Total,519,1,1,0,0,0,2,5,12,19,22,7,14,11,13,9,15,29,49,32,13,6,6,1,1,1,1,0,1,0,2,2,12,14,20,7,5,11,9,9,12,30,37,32,17,9,11,7,2
Post Office Square north of Milk Street,October,MV,Northbound,11612,56,32,28,17,28,91,127,204,262,304,330,295,289,307,379,487,514,598,467,226,174,180,169,89,53,38,36,14,31,87,133,173,285,300,331,322,302,311,345,489,636,518,518,301,197,158,233,148
Post Office Square north of Milk Street,October,MV,Southbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Post Office Square north of Milk Street,October,MV,Total,11612,56,32,28,17,28,91,127,204,262,304,330,295,289,307,379,487,514,598,467,226,174,180,169,89,53,38,36,14,31,87,133,173,285,300,331,322,302,311,345,489,636,518,518,301,197,158,233,148
Quincy Street west of Ceylon Street,October,Bike,Eastbound,49,0,0,0,0,0,1,0,1,3,0,1,0,1,6,1,0,0,0,3,2,0,2,1,1,0,1,1,0,0,1,0,1,5,1,0,2,0,3,1,4,0,1,2,2,1,0,0,0
Quincy Street west of Ceylon Street,October,Bike,Westbound,59,0,0,1,0,2,0,1,1,6,2,1,2,0,0,4,1,1,3,1,0,0,0,2,0,1,0,1,0,0,0,2,1,2,6,0,2,0,3,0,3,0,1,3,1,1,1,1,2
Quincy Street west of Ceylon Street,October,Bike,Total,108,0,0,1,0,2,1,1,2,9,2,2,2,1,6,5,1,1,3,4,2,0,2,3,1,1,1,2,0,0,1,2,2,7,7,0,4,0,6,1,7,0,2,5,3,2,1,1,2
Quincy Street west of Ceylon Street,October,MV,Eastbound,12993,112,56,26,26,34,78,240,381,347,326,334,358,376,411,463,437,419,377,459,366,330,287,195,156,90,58,34,24,42,78,244,367,351,322,324,350,340,372,425,393,379,415,447,380,339,262,207,156
Quincy Street west of Ceylon Street,October,MV,Westbound,18384,100,67,31,37,39,145,514,794,738,532,399,406,483,538,517,550,574,559,515,505,386,360,260,203,86,58,40,39,35,148,502,832,690,465,448,413,447,473,552,582,580,525,535,478,399,346,248,211
Quincy Street west of Ceylon Street,October,MV,Total,31377,212,123,57,63,73,223,754,1175,1085,858,733,764,859,949,980,987,993,936,974,871,716,647,455,359,176,116,74,63,77,226,746,1199,1041,787,772,763,787,845,977,975,959,940,982,858,738,608,455,367
Seaport Boulevard west of Sleeper Street,October,Bike,Eastbound,652,0,0,0,0,0,0,12,40,106,44,10,10,19,13,12,7,15,16,12,8,3,3,1,0,1,0,0,0,1,0,14,32,73,44,12,11,9,10,8,5,36,24,20,13,6,0,2,0
Seaport Boulevard west of Sleeper Street,October,Bike,Westbound,897,2,0,0,0,2,2,3,9,28,12,9,11,15,11,18,26,53,121,54,19,10,4,5,1,0,0,0,0,0,5,3,14,26,11,58,8,13,14,11,21,59,107,52,22,30,16,9,3
Seaport Boulevard west of Sleeper Street,October,Bike,Total,1549,2,0,0,0,2,2,15,49,134,56,19,21,34,24,30,33,68,137,66,27,13,7,6,1,1,0,0,0,1,5,17,46,99,55,70,19,22,24,19,26,95,131,72,35,36,16,11,3
Seaport Boulevard west of Sleeper Street,October,MV,Eastbound,22401,99,68,42,61,173,586,643,854,851,858,582,534,472,457,554,654,628,721,762,482,356,291,238,141,83,60,43,65,184,609,760,835,838,800,553,605,543,462,616,652,712,659,592,492,388,282,279,182
Seaport Boulevard west of Sleeper Street,October,MV,Westbound,24567,348,238,98,96,105,127,282,564,762,732,518,585,602,647,792,902,865,769,723,610,593,507,448,297,164,88,42,40,34,125,312,562,773,743,620,690,663,636,846,833,788,855,816,705,627,515,473,407
Seaport Boulevard west of Sleeper Street,October,MV,Total,46968,447,306,140,157,278,713,925,1418,1613,1590,1100,1119,1074,1104,1346,1556,1493,1490,1485,1092,949,798,686,438,247,148,85,105,218,734,1072,1397,1611,1543,1173,1295,1206,1098,1462,1485,1500,1514,1408,1197,1015,797,752,589
Seaver Street west of Humboldt Avenue,October,Bike,Eastbound,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1
Seaver Street west of Humboldt Avenue,October,Bike,Westbound,54,0,0,0,0,0,0,2,2,2,1,0,0,2,1,4,0,1,1,1,0,5,2,1,0,0,0,0,0,0,0,0,4,1,2,0,1,1,0,5,1,3,3,3,0,3,2,0,0
Seaver Street west of Humboldt Avenue,October,Bike,Total,65,0,0,0,0,0,1,2,2,2,1,0,0,3,1,5,0,1,1,1,2,5,3,1,0,0,0,0,0,0,0,0,4,1,2,0,1,1,0,5,1,3,5,3,0,3,4,0,1
Seaver Street west of Humboldt Avenue,October,MV,Eastbound,25028,173,101,59,28,37,97,311,591,575,513,559,577,649,649,817,1077,1133,989,976,769,575,507,366,323,182,120,60,37,54,80,305,615,591,528,546,562,649,646,841,1075,1134,1041,874,719,645,522,403,348
Seaver Street west of Humboldt Avenue,October,MV,Westbound,24003,96,63,42,44,66,304,806,1176,1138,820,613,535,553,608,683,628,614,699,530,485,440,398,279,206,120,68,44,43,83,320,822,1144,1041,812,641,564,598,616,691,646,661,716,603,529,454,419,330,212
Seaver Street west of Humboldt Avenue,October,MV,Total,49031,269,164,101,72,103,401,1117,1767,1713,1333,1172,1112,1202,1257,1500,1705,1747,1688,1506,1254,1015,905,645,529,302,188,104,80,137,400,1127,1759,1632,1340,1187,1126,1247,1262,1532,1721,1795,1757,1477,1248,1099,941,733,560
South Huntington Avenue south of Castleton Street,October,Bike,Northbound,405,2,0,0,0,2,3,7,19,33,29,6,6,9,7,10,10,7,9,17,7,5,5,3,1,2,0,1,1,3,8,7,22,30,24,10,7,6,7,10,12,8,8,21,6,2,8,4,1
South Huntington Avenue south of Castleton Street,October,Bike,Southbound,332,5,2,2,0,1,1,2,4,3,6,3,6,4,3,5,11,9,22,22,21,6,15,6,2,4,5,0,1,0,0,3,2,6,8,3,4,5,6,4,13,13,24,25,20,6,9,4,6
South Huntington Avenue south of Castleton Street,October,Bike,Total,737,7,2,2,0,3,4,9,23,36,35,9,12,13,10,15,21,16,31,39,28,11,20,9,3,6,5,1,2,3,8,10,24,36,32,13,11,11,13,14,25,21,32,46,26,8,17,8,7
South Huntington Avenue south of Castleton Street,October,MV,Northbound,13109,51,20,20,24,43,184,535,565,597,440,377,291,318,341,340,319,314,355,313,255,183,159,133,84,44,31,15,20,50,187,576,651,603,553,413,348,389,409,362,317,326,343,334,267,203,163,145,99
South Huntington Avenue south of Castleton Street,October,MV,Southbound,9535,51,32,24,9,20,53,134,229,228,208,246,224,261,256,301,385,435,421,336,262,192,136,134,138,52,23,15,12,19,49,123,224,231,210,234,244,269,281,318,408,465,397,318,245,235,154,153,141
South Huntington Avenue south of Castleton Street,October,MV,Total,22644,102,52,44,33,63,237,669,794,825,648,623,515,579,597,641,704,749,776,649,517,375,295,267,222,96,54,30,32,69,236,699,875,834,763,647,592,658,690,680,725,791,740,652,512,438,317,298,240
Southwest Corridor Bicycle Path south of Heath Street*,September,Bike,Total,4370,12,3,0,3,6,14,64,179,333,179,87,66,43,46,70,71,162,285,235,136,88,70,47,28,10,5,1,3,6,16,62,185,303,185,82,43,42,62,58,72,173,249,209,121,102,68,52,34
Southwest Corridor Bicycle Path south of Heath Street*,September,Bike,Northbound,2148,1,0,0,1,5,14,59,171,315,166,78,48,30,30,28,15,24,35,29,17,7,6,8,4,1,0,0,1,6,16,57,175,286,171,62,31,24,33,25,18,33,38,25,23,15,7,7,3
Southwest Corridor Bicycle Path south of Heath Street*,September,Bike,Southbound,2222,11,3,0,2,1,0,5,8,18,13,9,18,13,16,42,56,138,250,206,119,81,64,39,24,9,5,1,2,0,0,5,10,17,14,20,12,18,29,33,54,140,211,184,98,87,61,45,31
Southwest Corridor Bicycle Path south of Heath Street*,September,MV,Total,507,1,0,1,2,2,8,8,16,17,13,7,13,13,21,24,15,13,18,33,12,11,8,6,3,3,0,0,0,1,5,4,19,28,24,7,11,3,14,9,17,17,31,18,5,17,2,5,2
Southwest Corridor Bicycle Path south of Heath Street*,September,MV,Northbound,176,0,0,0,1,1,3,2,9,13,7,4,2,5,6,5,6,3,1,12,4,2,2,1,3,0,0,0,0,0,1,0,6,17,14,2,5,2,4,3,5,5,7,7,0,6,0,0,0
Southwest Corridor Bicycle Path south of Heath Street*,September,MV,Southbound,331,1,0,1,1,1,5,6,7,4,6,3,11,8,15,19,9,10,17,21,8,9,6,5,0,3,0,0,0,1,4,4,13,11,10,5,6,1,10,6,12,12,24,11,5,11,2,5,2
Summer Street east of Dorchester Avenue,October,Bike,Eastbound,871,0,2,0,0,0,5,20,43,65,40,9,20,18,14,23,19,38,60,30,15,3,2,3,0,0,0,0,0,0,1,10,49,44,45,53,14,11,26,17,20,31,51,34,11,10,9,1,5
Summer Street east of Dorchester Avenue,October,Bike,Westbound,1107,3,0,1,0,0,2,9,31,73,51,23,15,24,18,20,22,40,77,53,42,17,9,8,1,2,0,0,0,1,4,10,28,68,48,18,25,19,20,15,52,34,88,53,32,13,10,17,11
Summer Street east of Dorchester Avenue,October,Bike,Total,1978,3,2,1,0,0,7,29,74,138,91,32,35,42,32,43,41,78,137,83,57,20,11,11,1,2,0,0,0,1,5,20,77,112,93,71,39,30,46,32,72,65,139,87,43,23,19,18,16
Summer Street east of Dorchester Avenue,October,MV,Eastbound,15436,86,69,35,63,80,125,330,477,569,461,430,424,377,392,403,459,450,545,492,402,286,261,220,135,100,50,40,27,51,142,306,486,523,424,430,417,393,469,437,475,527,603,574,389,306,232,264,200
